"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"ILMN_2719322"	108.59527	102.638103125	129.8790875	145.674675	149.1243125	106.242820625	110.1219775	145.1658125	131.57471875	131.66101875	120.867783125	124.55214375	115.906464375	100.884936875	130.90685	133.2308125
"ILMN_2901363"	161.43203125	169.78939375	152.1062	175.28598125	129.95585625	169.4552375	197.2252125	158.3846375	145.3389	150.64725625	178.6904875	158.6875	189.73489375	158.6875	170.2017375	128.020125
"ILMN_2741738"	209.95990625	214.13316875	251.30326875	257.63335	234.260575	235.43113125	224.416875	220.50859375	207.70706875	236.39815625	206.64905625	233.4838625	190.51620625	254.36886875	192.6032125	240.04690625
"ILMN_2616151"	164.3968125	172.353225	201.62113125	159.69138125	191.1588375	169.214	220.08603125	161.551425	126.96625625	172.5337625	173.90828125	176.31839375	151.8665125	118.471008125	156.49079375	144.00685625
"ILMN_1225252"	10841.250625	9890.1793125	11065.510875	10841.250625	9490.1536875	10127.8905625	9671.8816875	10841.250625	10060.255125	9972.20525	9890.1793125	10958.433125	9413.28375	9890.1793125	9346.0995	9753.672125
"ILMN_1258578"	1351.2752375	1253.613975	1577.917625	1485.9148125	1808.6184375	1529.5255625	1262.084325	1481.7319375	1478.5996875	1793.433875	1395.78575	1459.97975	1429.7836125	1290.79334375	1716.46775	1532.028875
"ILMN_1219446"	185.88055	162.04371875	206.3713125	177.7439375	172.23488125	201.62113125	178.6904875	160.23875	202.5795125	169.65194375	165.954875	165.954875	157.216325	167.203	178.81230625	168.585275
"ILMN_1238733"	778.8566	799.0163375	1047.83524375	765.3852875	1205.7586875	860.29973125	768.13921875	876.168925	801.81858125	1032.766675	799.0163375	919.02419375	788.81949375	821.9814125	908.8836125	908.8836125
"ILMN_1212648"	564.21346875	504.2750375	495.60464375	374.74366875	554.6096625	539.54431875	527.07400625	384.34065	345.38940625	541.213475	349.2293625	538.40756875	546.67505625	351.55851875	354.61660625	569.2850875
"ILMN_2897214"	6332.6618125	6096.572375	5458.565	4774.159	6096.572375	6578.41025	7332.76175	4363.454875	4880.49925	4880.49925	6753.8141875	6383.8138125	7144.64825	6753.8141875	5100.66625	5762.73775
"ILMN_2715153"	109.976179375	122.195053125	120.51551125	103.879939375	143.8182375	116.917326875	91.372396875	106.984139375	112.680161875	121.17253375	122.195053125	117.65351375	116.75566875	98.76970625	108.159053125	130.6918125
"ILMN_2700848"	216.67686875	198.2266625	197.2252125	186.66923125	173.90828125	198.537425	204.23965625	243.0280375	218.7287625	215.532425	218.25731875	236.130475	235.79373125	209.32098125	198.2266625	181.43729375
"ILMN_1212938"	283.540325	224.07854375	228.38930625	325.79024375	264.24041875	298.81056875	241.2465625	285.79318125	320.69589375	264.24041875	275.47909375	277.15685625	285.79318125	216.99501875	267.27683125	304.96008125
"ILMN_2697082"	215.532425	212.56733125	199.94305625	190.76133125	208.614425	214.63416875	197.96421875	211.3284125	235.25141875	167.33055625	229.10846875	244.36269375	171.22390625	176.31839375	177.32429375	233.4838625
"ILMN_1217822"	908.8836125	1011.060025	825.27274375	857.74695625	863.1886875	939.87478125	968.52038125	1056.7428375	910.37574375	892.5835875	898.38510625	943.18929375	936.561775	1119.3327375	915.24975	1069.8680125
"ILMN_2786164"	615.6507375	614.66899375	579.95534375	630.68256875	603.07173125	579.95534375	651.440175	633.27214375	555.743425	665.2559875	653.84860625	646.166675	703.5802625	676.4500125	690.38670625	725.7171625
"ILMN_2734060"	6015.1349375	5720.023125	5859.1675625	5458.565	4315.6864375	5316.6859375	6292.2961875	4680.85275	5207.3271875	5017.492875	6332.6618125	6251.9165625	6096.572375	5986.11875	4902.6641875	4577.5029375
"ILMN_1242772"	426.63545	413.1436125	473.52364375	420.80611875	434.11775625	428.86770625	402.7885	431.16281875	409.2603125	476.1185375	430.63421875	388.29455	415.8145375	392.08263125	372.73630625	354.05960625
"ILMN_2772728"	266.54350625	239.731575	245.33235	236.95804375	233.2049125	269.54261875	293.85094375	234.5153	231.99835625	248.81170625	243.0280375	254.10841875	280.7798125	271.34849375	243.64128125	223.72760625
"ILMN_1241196"	723.366875	577.3044	808.3092375	812.9982	612.4552625	753.64794375	653.84860625	780.5475	857.74695625	659.09488125	666.30194375	584.78806875	627.058775	860.29973125	817.51023125	764.2097375
"ILMN_1220700"	121.735439375	128.2565	110.977543125	170.2017375	102.251944375	113.562564375	127.62435625	159.81698125	148.21475	133.76694375	231.05068125	134.560175	133.6731375	185.88055	179.44441875	101.6817975
"ILMN_1245518"	130.09806875	106.643790625	127.4141875	110.27779375	127.2450625	108.739425	112.5711125	131.7516	133.14736875	124.50436875	135.1378125	109.081111875	136.61658125	140.0592625	134.2687625	124.97909375
"ILMN_2993782"	144.38583125	127.9695	111.149335625	120.24917875	123.61475625	127.2450625	132.53908125	92.73414375	129.7814125	113.089596875	126.79658125	129.95585625	107.44807875	116.628699375	117.515893125	109.87727375
"ILMN_2674032"	1382.81021875	1443.8409375	1588.2665625	1348.860525	1778.81175	1426.63413125	1476.0480625	1385.99768125	1412.31079375	1571.518	1320.76196875	1481.7319375	1405.39675625	1478.5996875	1342.66180625	1476.0480625
"ILMN_2699700"	964.61938125	1049.03378125	906.973	919.02419375	1114.7287	821.9814125	1035.2212625	890.8846625	965.92841875	1028.2021375	970.23390625	1008.09605625	1049.03378125	999.8791	954.6626875	997.9165375
