	B.I	BY.I	B.C	BY.C	B.C	B.I	BY.I	BY.C	BY.C	B.C	BY.I	B.I	B.I	BY.I	BY.C	B.C
ILMN_2772728	266.54350625	239.731575	245.33235	236.95804375	233.2049125	269.54261875	293.85094375	234.5153	231.99835625	248.81170625	243.0280375	254.10841875	280.7798125	271.34849375	243.64128125	223.72760625
ILMN_1241196	723.366875	577.3044	808.3092375	812.9982	612.4552625	753.64794375	653.84860625	780.5475	857.74695625	659.09488125	666.30194375	584.78806875	627.058775	860.29973125	817.51023125	764.2097375
ILMN_1220700	121.735439375	128.2565	110.977543125	170.2017375	102.251944375	113.562564375	127.62435625	159.81698125	148.21475	133.76694375	231.05068125	134.560175	133.6731375	185.88055	179.44441875	101.6817975
ILMN_2674032	1382.81021875	1443.8409375	1588.2665625	1348.860525	1778.81175	1426.63413125	1476.0480625	1385.99768125	1412.31079375	1571.518	1320.76196875	1481.7319375	1405.39675625	1478.5996875	1342.66180625	1476.0480625
ILMN_2775655	411.01455625	520.452825	367.22568125	380.48959375	399.316725	388.29455	568.67436875	331.55780625	382.95286875	348.55784375	414.16425625	428.86770625	414.83418125	454.602775	370.48145625	359.38050625
ILMN_2765593	204.4481	198.73825	229.88585625	213.93013125	207.70706875	212.56733125	167.203	206.84325	173.37554375	191.45689375	183.22048125	216.00235625	167.33055625	180.588125	159.81698125	196.22610625
ILMN_1246695	759.58360625	567.0161125	855.91689375	465.7442	995.77236875	835.00675625	739.25601875	462.82	473.52364375	820.2931	494.18310625	482.1791625	886.00486875	471.9612875	437.71665625	811.4076125
ILMN_2661107	667.346975	729.4838	719.046825	548.38800625	677.79639375	640.49278125	637.1031	507.30178125	620.669025	710.4593125	506.4152125	668.6408375	633.27214375	579.95534375	579.95534375	742.81638125
ILMN_2610809	200.56650625	205.81603125	193.3669875	174.29655	186.01159375	191.631825	196.7999	174.1205625	181.7425875	182.32083125	185.8147375	218.5558625	196.7999	167.0412125	166.5747125	158.6875
ILMN_2958417	4642.1986875	4735.2788125	4514.3431875	4964.116125	5235.5604375	4880.49925	4667.497625	5207.3271875	5592.9835	4819.3668125	4619.5934375	4964.116125	5035.313	4642.1986875	5071.7954375	4774.159
ILMN_1239196	241.740075	251.30326875	283.215625	285.20514375	326.28495625	257.1474375	246.43791875	318.857075	300.51006875	330.6628875	253.16974375	251.30326875	251.30326875	284.88960625	273.60645	280.7798125
ILMN_1258929	209.103475	200.89800625	202.5795125	168.3561625	193.07526875	185.748925	140.1893	167.6349875	148.575225	187.723625	137.077675	175.28598125	170.6414875	137.74104375	174.8182375	185.748925
ILMN_2775751	10674.29	11659.052625	9753.672125	9249.246625	11818.927875	12022.927	11297.6646875	9890.1793125	9972.20525	11230.1335625	10674.29	10574.6365	11495.6474375	11230.1335625	10127.8905625	11495.6474375
ILMN_2777655	4464.1320625	4602.2670625	4436.122	4239.0556875	4819.3668125	4799.889	4774.159	4183.4475625	4436.122	4452.0114375	4642.1986875	4619.5934375	5159.29925	4577.5029375	4396.7099375	4464.1320625
ILMN_1233630	915.24975	900.229325	913.7848	894.35590625	793.42196875	784.02243125	789.96631875	778.8566	782.2742875	948.13583125	739.25601875	900.229325	793.42196875	718.119375	801.81858125	1004.4496375
ILMN_1224021	125.5333625	104.4697725	93.406406875	127.80019375	103.351555625	107.61843	109.081111875	130.0340125	142.76286875	99.951273125	104.433021875	111.05283625	103.629859375	135.42206875	123.29315	129.71258125
ILMN_1230489	1208.95903125	1203.07131875	1450.9011875	1672.5034375	1315.989225	1185.554375	1153.086725	1560.8211875	1571.518	1337.96778125	1499.0845625	1410.221575	1286.1005125	1382.81021875	1606.403875	1392.73844375
ILMN_3004931	442.89155	511.4432375	450.09990625	404.7403875	413.1436125	471.9612875	502.513075	479.6173875	462.82	411.74715	444.5415	521.16900625	513.72638125	515.71900625	465.7442	413.6796125
ILMN_2682516	263.31391875	318.03841875	290.89839375	334.64200625	287.144725	317.6047375	357.68119375	346.84835	362.3423375	264.8414125	340.10790625	324.59301875	311.60259375	374.74366875	298.81056875	284.07173125
ILMN_2661005	3134.3626875	2998.837625	3672.7575	3971.043125	3770.3874375	3496.7734375	3049.8525625	3712.4661875	3641.0309375	3834.3006875	3074.407375	3081.9745625	3275.2453125	2770.389	3641.0309375	3232.3765
ILMN_2677056	8098.043625	8834.2650625	8098.043625	7935.557625	7184.1275	8492.1395	7411.148625	7144.64825	7332.76175	8212.2020625	6791.54225	7630.668	7984.2996875	7287.4495625	6900.494375	10210.935875
ILMN_1219298	652.601775	730.96755	769.2259125	847.2564125	777.837775	649.74345625	752.23520625	803.50789375	841.8968125	752.23520625	759.58360625	703.5802625	750.79295	1009.5939125	759.58360625	659.09488125
ILMN_1247207	198.986275	235.43113125	200.7246625	229.88585625	212.2325375	261.23531875	254.36886875	210.80955	223.11305	189.26159375	325.79024375	176.7156375	281.8167875	256.726675	225.56696875	237.7202375
ILMN_1242239	552.80308125	539.54431875	503.5053625	597.95865625	468.20624375	590.2830875	593.64370625	610.22988125	634.68935625	543.97434375	706.28880625	592.42118125	673.8294125	748.15424375	566.12206875	527.93001875
ILMN_2723788	2985.4025	2461.6148125	3199.676125	2618.0886875	2641.6040625	2668.906125	2510.9436875	2731.420875	2613.0956875	2689.4941875	2618.0886875	2890.73225	2593.7214375	2553.0296875	2541.381	2568.4504375
ILMN_1236357	428.86770625	421.34460625	500.1246625	491.6045875	515.71900625	478.21235625	507.9213875	560.8079	414.83418125	464.38098125	381.63321875	406.94613125	371.5558125	359.99755625	458.6657375	563.63728125
ILMN_2933887	151.8665125	140.8878375	169.04061875	153.695975	177.502625	171.38676875	155.432225	150.78871875	220.8166125	170.04654375	164.19486875	156.2078125	126.36245	129.95585625	183.40340625	151.9914375
ILMN_2923445	3074.407375	2738.6715	2426.33675	1691.932625	2112.8919375	2137.9463125	3556.7825	1495.75775	2098.2055	3610.6621875	3275.2453125	2874.069125	3041.47075	2148.8818125	2747.872	2657.9415625
ILMN_2677696	1440.767375	1521.487125	1440.767375	1719.596	1304.11341875	1459.97975	1450.9011875	1747.868375	1665.832375	1281.5076125	1741.11475	1470.9896875	1495.75775	1680.0055	1638.406375	1345.5829875
ILMN_1260001	371.001275	402.26533125	327.20638125	296.03155	268.74179375	365.57460625	332.51471875	312.35949375	420.2161375	309.742025	393.7152125	516.35701875	398.285625	428.2162625	355.68825625	308.76860625
